경로	활동	act_type	click_type	key	value
11-1. 쇼핑 검색 - 검색 메인(검색 전)	찜하기 클릭 - 상품 찜하기 (있는 정보만 수집)	click	상품 찜하기	page_id, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
11-1. 쇼핑 검색 - 검색 메인(검색 전)	리뷰 클릭	click	리뷰	page_id, area_name, prd_code, prd_review_id	{{page_id}}, {{영역 TEXT}}, {{상품코드}}, {{리뷰 id}}
11-2. 쇼핑 검색 - 검색 결과	검색 결과 페이지 조회	pageview		page_id, srch_kwd	{{page_id}}, {{검색어}}
11-2. 쇼핑 검색 - 검색 결과	검색 아이콘 클릭	click	검색 아이콘	page_id, srch_kwd_type, srch_kwd	{{page_id}}, {{검색어 타입}}, {{검색어}}
11-2. 쇼핑 검색 - 검색 결과	연관 검색어 클릭	click	연관 검색어	page_id, area_name, kwd	{{page_id}}, {{영역TEXT}}, {{검색어}}
11-2. 쇼핑 검색 - 검색 결과	추천 키워드 클릭	click	추천 키워드	page_id, area_name, rcmd_kwd	{{page_id}}, {{영역TEXT}}, {{검색어}}
11-2. 쇼핑 검색 - 검색 결과	칩버튼 클릭	click	칩버튼	page_id, area_name, click_text	{{page_id}}, {{영역TEXT}}, {{칩버튼 이름}}
11-2. 쇼핑 검색 - 검색 결과	상품 클릭 (있는 정보만 수집)	click	상품	page_id, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
11-2. 쇼핑 검색 - 검색 결과	찜하기 클릭 - 상품 찜하기 (있는 정보만 수집)	click	상품 찜하기	page_id, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
11-2. 쇼핑 검색 - 검색 결과	배너 노출	impression		page_id, banner_id, banner_url, banner_order	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}
11-2. 쇼핑 검색 - 검색 결과	배너 클릭	click	배너	page_id, banner_id, banner_url, banner_order	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}
11-2. 쇼핑 검색 - 검색 결과	리뷰 클릭	click	리뷰	page_id, area_name, prd_code, prd_review_id	{{page_id}}, {{영역 TEXT}}, {{상품코드}}, {{리뷰 id}}
11-2. 쇼핑 검색 - 검색 결과	필터 클릭	click	필터	page_id, area_name, prd_filter	{{page_id}}, {{영역 TEXT}}, {{필터 이름}}
12-1. 카테고리 - 카테고리 목록	카테고리 목록 조회	pageview		page_id	{{page_id}}
12-1. 카테고리 - 카테고리 목록	대카테고리 클릭	click	대카테고리	page_id, click_text, ctgr_id	{{page_id}}, {{대카테고리명}}, {{카테고리 코드}}
12-1. 카테고리 - 카테고리 목록	중카테고리 클릭	click	중카테고리	page_id, ctgr_depth1, click_text, ctgr_id	{{page_id}}, {{대카테고리명}}, {{중카테고리명}}, {{카테고리 코드}}
12-2. 카테고리 - 대카테고리	대카테고리 페이지 조회	pageview		page_id, ctgr_depth1, ctgr_id	{{page_id}}, {{대카테고리명}}, {{카테고리 코드}}
12-2. 카테고리 - 대카테고리	더보기 클릭	click	중카테고리 더보기	page_id, ctgr_depth1, ctgr_id, click_text	{{page_id}}, {{대카테고리명}}, {{카테고리 코드}}, {{더보기 이름}}
12-2. 카테고리 - 대카테고리	중카테고리 클릭	click	중카테고리	page_id, ctgr_depth1, click_text, ctgr_id	{{page_id}}, {{대카테고리명}}, {{중카테고리명}}, {{카테고리 코드}}
12-2. 카테고리 - 대카테고리	상품 클릭 (있는 정보만 수집)	click	상품	page_id, ctgr_depth1, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{대카테고리명}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
12-2. 카테고리 - 대카테고리	찜하기 클릭 - 상품 찜하기 (있는 정보만 수집)	click	상품 찜하기	page_id, ctgr_depth1, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{대카테고리명}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
12-2. 카테고리 - 대카테고리	필터 클릭	click	필터	page_id, ctgr_depth1, area_name, prd_filter	{{page_id}}, {{대카테고리명}}, {{영역 TEXT}}, {{필터 이름}}
12-3. 카테고리 - 중카테고리	중카테고리 페이지 조회	pageview		page_id, ctgr_depth1, ctgr_depth2, ctgr_id	{{page_id}}, {{대카테고리명}}, {{중카테고리명}}, {{카테고리 코드}}
12-3. 카테고리 - 중카테고리	소카테고리 클릭	click	소카테고리	page_id, ctgr_depth1, ctgr_depth2, click_text, ctgr_id	{{page_id}}, {{대카테고리명}}, {{중카테고리명}}, {{소카테고리명}}, {{카테고리 코드}}
